category,handle,sub_category
Brands,ZuriHotels,Accomodation
Brands,cprohini,Accomodation
Brands,ITCGrandBharat,Accomodation
Brands,CPKochi,Accomodation
Brands,rdindore,Accomodation
Brands,HyattRegencyLud,Accomodation
Brands,ClaridgesTweets,Accomodation
Brands,RadissonbluNDPV,Accomodation
Brands,LeMeridienJP,Accomodation
Brands,cisdelhi,Accomodation
Brands,ShangriLaMumbai,Accomodation
Brands,cismysore,Accomodation
Brands,AloftCessnaPark,Accomodation
Brands,TheWestinSohna,Accomodation
Brands,LeMeridien_BLR,Accomodation
Brands,rbgnoida,Accomodation
Brands,LeMeridienCoimb,Accomodation
Brands,3PalmsIndia,Accomodation
Brands,dreamcochin,Accomodation
Brands,thetheme_jaipur,Accomodation
Brands,EMallHotel,Accomodation
Brands,LeMeridienAMD,Accomodation
Brands,BestWesternIND,Accomodation
Brands,Gurgaon_HGI,Accomodation
Brands,holidayinnmumba,Accomodation
Brands,CrownePlazaGN,Accomodation
Brands,CrownePlazaNDO,Accomodation
Brands,aloftchennai,Accomodation
Brands,GoldenTulipInd,Accomodation
Brands,EatonSmartNDA,Accomodation
Brands,RoyalTulipHotel,Accomodation
Brands,FourPointsBLR,Accomodation
Brands,Formule1Hotel,Accomodation
Brands,FPBS_Dehradun,Accomodation
Brands,RadissonBluJpr,Accomodation
Brands,aahanacorbett,Accomodation
Brands,MPSTDCofficial,Accomodation
Brands,HGISAKET,Accomodation
Brands,AlilaBishangarh,Accomodation
Brands,GTRanchi,Accomodation
Brands,resortroutes,Accomodation
Brands,ClarionCBE,Accomodation
Brands,ParkInnGurgaon,Accomodation
Brands,thevivaan134,Accomodation
Brands,WyndhamGrand1,Accomodation
Brands,CISJAL,Accomodation
Brands,HotelComfortIn1,Accomodation
Brands,jetairways,Airlines
Brands,airindiain,Airlines
Brands,IndiGo6E,Airlines
Brands,flyspicejet,Airlines
Brands,SilkAirIndia,Airlines
Brands,goairlinesindia,Airlines
Brands,airvistara,Airlines
Brands,AirAsia_IN,Airlines
Brands,flykingfisher,Airlines
Brands,TK_INDIA,Airlines
Brands,coxandkingsIN,Airlines
Brands,Lufthansa_India,Airlines
Brands,cathaypacificIN,Airlines
Brands,AAI_Official,Airlines
Brands,KLMIndia,Airlines
Brands,AirFranceIN,Airlines
Brands,kingfisherworld,Beer
Brands,Heineken_IN,Beer
Brands,BudweiserIndia,Beer
Brands,godoolally,Beer
Brands,MahouIndia,Beer
Brands,FostersIn,Beer
Brands,Indus_Pride,Beer
Brands,TuborgIndia,Beer
Brands,CoronaIndia,Beer
Brands,SABMillerIndia,Beer
Brands,Godfatherzone,Beer
Brands,PeroniIndia,Beer
Brands,HoegaardenIndia,Beer
Brands,dewarists,Spirits
Brands,GreyGooseIndia,Spirits
Brands,AbsolutIndia,Spirits
Brands,JimBeamIndia,Spirits
Brands,AmrutMalt,Spirits
Brands,SmirnoffIndia,Spirits
Brands,IndiaCointreau,Spirits
Brands,ChivasIndia,Spirits
Brands,RemyMartinIndia,Spirits
Brands,No1_Yaari,Spirits
Brands,HennessyIN,Spirits
Brands,JohnnieWalkerIn,Spirits
Brands,JamesonIndia,Spirits
Brands,JackDanielsIND,Spirits
Brands,CirocIndia,Spirits
Brands,Fratelli_Wines,Wine
Brands,ChandonIndia,Wine
Brands,bmwindia,Cars
Brands,HyundaiIndia,Cars
Brands,AudiIN,Cars
Brands,MercedesBenzInd,Cars
Brands,RenaultIndia,Cars
Brands,FordIndia,Cars
Brands,Nissan_India,Cars
Brands,volkswagenindia,Cars
Brands,HondaCarIndia,Cars
Brands,SkodaIndia,Cars
Brands,Toyota_India,Cars
Brands,TataMotors,Cars
Brands,maruti_corp,Cars
Brands,NexaExperience,Cars
Brands,JLRindia,Cars
Brands,KiaMotorsIN,Cars
Brands,VitaraBrezza,Cars
Brands,JCBIndiaLtd,Cars
Brands,MahindraScorpio,Cars
Brands,FiatIndia,Cars
Brands,marutidzire,Cars
Brands,MitsubishiIndia,Cars
Brands,ritzbymaruti,Cars
Brands,MahindraBolero,Cars
Brands,Toyota_Etios,Cars
Brands,PolarisIndia,Cars
Brands,Toyota_Fortuner,Cars
Brands,Toyota_Altis,Cars
Brands,ToyotaEtiosLiva,Cars
Brands,Mahindra_Xylo,Cars
Brands,MINIOfficial_IN,Cars
Brands,RextonIndia,Cars
Brands,CarsHyundai,Cars
Brands,MaybellineIndia,Beauty
Brands,LOrealParisIn,Beauty
Brands,ILoveLakme,Beauty
Brands,TheBodyShopIND,Beauty
Brands,Oriflame_India,Beauty
Brands,RevlonIndia,Beauty
Brands,TheGarnierMan,Beauty
Brands,Engagedeo,Beauty
Brands,GodrejCinthol,Beauty
Brands,PondsIndia,Beauty
Brands,GilletteIndia,Beauty
Brands,NIVEA_INDIA,Beauty
Brands,FiamaIndia,Beauty
Brands,Dove_IND,Beauty
Brands,skinn_titan,Beauty
Brands,FructisIndia,Beauty
Brands,Elle18India,Beauty
Brands,HimalayaIndia,Beauty
Brands,TIGIIndia,Beauty
Brands,LotusHerbals,Beauty
Brands,StreetWearIndia,Beauty
Brands,PureActiveIndia,Beauty
Brands,KiehlsIndia,Beauty
Brands,ForestEssential,Beauty
Brands,OldSpiceIndia,Beauty
Brands,AvonIndia,Beauty
Brands,OlayIndia,Beauty
Brands,PondsMenIndia,Beauty
Brands,Pantene_India,Beauty
Brands,LorealProfIndia,Beauty
Brands,JF_TSS,Beauty
Brands,GodrejExpert,Beauty
Brands,VeetIndia,Beauty
Brands,KerastaseIndia,Beauty
Brands,TRESemmeIndia,Beauty
Brands,KamaAyurveda,Beauty
Brands,Hair_WardrobeIN,Beauty
Brands,axeangelsclub,Beauty
Brands,JohnsonsBabyInd,Beauty
Brands,sunsilkexperts,Beauty
Brands,glazeindia,Beauty
Brands,garnierbbin,Beauty
Brands,Dabur_MBN,Beauty
Brands,MuscleBlaze,Beauty
Brands,LancomeIndia,Beauty
Brands,HealthTotalAM,Beauty
Brands,Biotique_World,Beauty
Brands,MatrixHairIndia,Beauty
Brands,AdictionDeos,Beauty
Brands,ProtinexIndia,Beauty
Brands,ZaBeautyIndia,Beauty
Brands,NeutrogenaIndia,Beauty
Brands,hnsIndia,Beauty
Brands,bsn_in,Beauty
Brands,SchwarzkopfInd,Beauty
Brands,LEVERayush,Beauty
Brands,Prem_Henna,Beauty
Brands,HimalayaDigital,Beauty
Brands,NIVEAMEN_India,Beauty
Brands,drorthooils,Beauty
Brands,GilletteVenusIn,Beauty
Brands,lux_india,Beauty
Brands,dermalogicain,Beauty
Brands,VaselineIndia,Beauty
Brands,SpinzWomen,Beauty
Brands,doveindia,Beauty
Brands,Keshkingoil,Beauty
Brands,Garnier_Colour,Beauty
Brands,LOCCITANE_IN,Beauty
Brands,ClarinsIndia,Beauty
Brands,Schwarzkopf_Ind,Beauty
Brands,bajaj_group,Beauty
Brands,TheZuskaMen,Beauty
Brands,InnocentPears,Beauty
Brands,ravinderkpunj,Beauty
Brands,NESCAFEIndia,coffee-tea
Brands,typhooindia,coffee-tea
Brands,SocietyTea,coffee-tea
Brands,darjeelingtea,coffee-tea
Brands,brucoffeein,coffee-tea
Brands,indianbean,coffee-tea
Brands,LiptonIndia,coffee-tea
Brands,GloriaJeansInd,coffee-tea
Brands,RedLabelChai,coffee-tea
Brands,Twiningsindia,coffee-tea
Brands,PepsiIndia,soft-drink
Brands,redbullindia,soft-drink
Brands,TropicanaSlice,soft-drink
Brands,Frooti,soft-drink
Brands,MirindaIndia,soft-drink
Brands,LiptonIceTeaIN,soft-drink
Brands,MountainDewIn,soft-drink
Brands,IndiaTropicana,soft-drink
Brands,7UPIndia,soft-drink
Brands,CocaCola_Ind,soft-drink
Brands,MaazaIndia,soft-drink
Brands,Boost_Energy,soft-drink
Brands,ThumsUpOfficial,soft-drink
Brands,KDDHarvest,soft-drink
Brands,BournvitaIndia,soft-drink
Brands,UrzzaPower,soft-drink
